latitude,longitude,mag,mag2,mag3,mag4,mag5,mag6,mag7,mag8,mag9,mag10,mag11,mag12
-93.168,31.333,-0.00046016,-0.00043545,-0.00040732,-0.00037695,-0.00034535,-0.00031365,-0.00028283,-0.00025337,-0.00022563,-0.00010599,-0.00012469,-0.0056194
-92.325,31.375,0.00022018,0.00012775,3.65E-05,-5.03E-05,-0.00013007,-0.00020133,-0.00026346,-0.00031632,-0.00035984,0.00013609,0.00015756,0.026456
-91.617,31.284,0.00095792,0.0010173,0.0010655,0.0011018,0.0011259,0.0011389,0.0011427,0.0011383,0.0011258,0.00037417,0.00035848,-0.0065862
-99.091,30.754,-7.19E-05,-4.05E-05,-9.52E-06,2.01E-05,4.73E-05,7.15E-05,9.25E-05,0.00011032,0.00012499,0.00028811,0.00024323,-0.0072819
-98.269,30.814,0.0001924,0.00023004,0.00026498,0.00029647,0.00032385,0.0003465,0.00036403,0.00037644,0.00038408,3.02E-07,4.46E-05,-0.0052697
-97.585,30.783,4.19E-05,6.49E-05,8.64E-05,0.00010581,0.00012265,0.0001369,0.00014867,0.000158,0.00016481,-0.00014342,-0.00017283,-0.0098412
-96.796,30.77,0.00016073,0.00021036,0.00025629,0.00029736,0.00033328,0.00036428,0.00039046,0.00041152,0.00042706,-0.00046016,-0.00043545,-0.011939
-96.139,30.829,0.00024705,0.00030792,0.000365,0.00041677,0.00046214,0.00050062,0.00053192,0.00055575,0.00057205,0.00022018,0.00012775,-0.0089243
-95.474,30.75,0.00010064,-5.98E-05,-0.00021556,-0.00036183,-0.00049521,-0.00061347,-0.00071532,-0.00080026,-0.00086843,0.00095792,0.0010173,-0.0039148
-94.766,30.794,7.67E-05,5.74E-05,3.82E-05,1.98E-05,2.45E-06,-1.37E-05,-2.84E-05,-4.14E-05,-5.23E-05,-7.19E-05,-4.05E-05,-0.0067904
-93.959,30.746,0.00022569,0.000164,0.00010241,4.30E-05,-1.28E-05,-6.42E-05,-0.00011031,-0.00015046,-0.0001841,0.0001924,0.00023004,-0.015934
-93.19,30.75,0.00069526,0.00063452,0.00057013,0.00050444,0.00043948,0.00037694,0.00031821,0.00026422,0.00021541,4.19E-05,6.49E-05,-0.0038781
-92.431,30.712,0.00011567,1.31E-05,-8.73E-05,-0.00018219,-0.00026903,-0.00034625,-0.00041303,-0.00046896,-0.00051377,0.00016073,0.00021036,0.0059259
-91.781,30.764,-0.00044411,-0.00043932,-0.0004307,-0.00041888,-0.00040451,-0.00038823,-0.00037052,-0.00035166,-0.00033204,0.00024705,0.00030792,0.011643
-90.746,30.715,-3.51E-05,-0.00010515,-0.00017245,-0.00023461,-0.00029018,-0.00033871,-0.0003801,-0.00041406,-0.00044037,0.00010064,-5.98E-05,0.0036878
-90.338,30.73,-0.00024882,-0.00025613,-0.00026089,-0.0002632,-0.00026339,-0.00026192,-0.00025896,-0.00025447,-0.00024878,7.67E-05,5.74E-05,0.0081684
-99.035,30.072,0.00011835,0.00016403,0.00020706,0.00024625,0.00028076,0.00031009,0.00033404,0.00035264,0.00036617,0.00022569,0.000164,-0.015994
-98.475,30.028,-8.43E-05,-5.43E-05,-2.49E-05,2.79E-06,2.82E-05,5.11E-05,7.14E-05,8.90E-05,0.00010368,0.00069526,0.00063452,-0.00353
-97.571,30.029,-0.00010486,-0.00011248,-0.00011885,-0.00012405,-0.00012808,-0.00013098,-0.00013284,-0.00013382,-0.00013402,0.00011567,1.31E-05,-0.0036464
-97.065,30.076,-0.00015493,-0.00017743,-0.00019812,-0.00021659,-0.00023241,-0.00024526,-0.00025508,-0.00026209,-0.00026658,-0.00044411,-0.00043932,0.012522
-96.316,30.08,0.00024893,0.00038105,0.00050613,0.0006207,0.00072267,0.00081098,0.00088514,0.00094503,0.00099088,-3.51E-05,-0.00010515,-0.013306
-95.49,30.222,0.00031056,0.00031184,0.00030993,0.00030507,0.00029761,0.00028819,0.00027757,0.00026626,0.00025468,-0.00024882,-0.00025613,0.001231
-94.724,30.108,-7.28E-05,-0.00020464,-0.00033169,-0.00045021,-0.00055717,-0.00065063,-0.00072979,-0.00079477,-0.00084622,0.00011835,0.00016403,0.0071546
-93.98,30.209,-0.00034557,-0.00037598,-0.00040204,-0.00042308,-0.00043875,-0.00044926,-0.0004552,-0.00045731,-0.00045616,-8.43E-05,-5.43E-05,-0.0090079
-93.188,30.06,0.00046556,0.00052856,0.00058518,0.00063407,0.00067443,0.00070624,0.00073022,0.00074738,0.00075822,-0.00010486,-0.00011248,0.022928
-92.551,30.125,-9.46E-05,-0.00019011,-0.00028176,-0.00036694,-0.00044365,-0.00051053,-0.00056683,-0.00061245,-0.00064801,-0.00015493,-0.00017743,-0.00075914
-91.856,30.086,-4.13E-05,0.00015662,0.00034835,0.00052834,0.00069247,0.00083771,0.00096214,0.0010653,0.0011477,0.00024893,0.00038105,0.0089925
-91.161,30.11,-0.00093254,-0.0013471,-0.0017395,-0.0020983,-0.002416,-0.0026892,-0.0029167,-0.0030987,-0.0032362,0.00031056,0.00031184,0.0026798
-90.489,30.044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.28E-05,-0.00020464,-0.003652
-99.177,29.459,-6.76E-05,-3.91E-05,-1.13E-05,1.49E-05,3.87E-05,5.98E-05,7.81E-05,9.36E-05,0.00010631,-0.00034557,-0.00037598,-0.019883
-98.352,29.381,-3.82E-05,-6.41E-06,2.44E-05,5.33E-05,7.96E-05,0.000103,0.00012322,0.00014026,0.00015406,0.00046556,0.00052856,-0.024268
-97.774,29.388,0.00010993,0.00011371,0.00011657,0.0001185,0.00011938,0.00011919,0.00011799,0.00011588,0.00011301,-9.46E-05,-0.00019011,-0.019994
-97.057,29.481,0.00030761,0.00036937,0.0004257,0.00047548,0.00051824,0.00055371,0.00058172,0.00060245,0.00061665,-4.13E-05,0.00015662,0.018738
-96.332,29.439,-0.00069636,-0.00067069,-0.00064023,-0.00060683,-0.00057179,-0.00053589,-0.00049972,-0.000464,-0.0004295,-0.00093254,-0.0013471,-0.0020046
-95.448,29.419,0.00043375,0.00045261,0.00046755,0.000479,0.00048737,0.00049263,0.00049425,0.00049188,0.00048596,NaN,NaN,NaN
-99.294,28.719,-0.0001558,-0.00018894,-0.00021949,-0.00024679,-0.00027034,-0.00028975,-0.00030503,-0.00031662,-0.00032512,-6.76E-05,-3.91E-05,-0.0078387
-98.558,28.847,-1.35E-05,7.39E-05,0.00015832,0.00023712,0.0003084,0.00037097,0.00042439,0.0004688,0.00050445,-3.82E-05,-6.41E-06,0.010776
-97.808,28.855,-0.00031485,-0.0002916,-0.00026658,-0.00024104,-0.00021589,-0.00019149,-0.00016792,-0.00014543,-0.00012455,0.00010993,0.00011371,-0.0049507
-97.067,28.955,0.00019873,0.00032808,0.00045104,0.00056409,0.00066473,0.00075158,0.00082411,0.00088231,0.00092671,0.00030761,0.00036937,0.0075602
-96.44,28.764,0.00037146,0.00029407,0.00021581,0.00013952,6.73E-05,5.74E-07,-5.97E-05,-0.00011284,-0.00015845,-0.00069636,-0.00067069,-0.0069744
-95.648,28.84,-0.00018937,-0.00030287,-0.00041028,-0.00050879,-0.00059673,-0.00067324,-0.00073781,-0.00079016,-0.00083039,0.00043375,0.00045261,-0.0381
-99.974,28.284,5.98E-05,7.90E-05,9.72E-05,0.00011395,0.00012884,0.00014166,0.00015232,0.00016089,0.00016741,-0.0001558,-0.00018894,-0.0068269
-99.394,28.324,-0.00011801,-0.00016583,-0.00021098,-0.00025214,-0.00028825,-0.00031885,-0.00034407,-0.00036424,-0.00037949,-1.35E-05,7.39E-05,-0.0077759
-98.552,28.125,1.31E-05,-9.42E-05,-0.00019793,-0.0002946,-0.00038152,-0.00045715,-0.00052118,-0.000574,-0.00061598,-0.00031485,-0.0002916,-0.0020001
-97.83,28.287,-0.00024513,-0.00027059,-0.00029376,-0.0003145,-0.00033248,-0.00034719,-0.00035824,-0.00036565,-0.00036976,0.00019873,0.00032808,-0.012132
-99.275,27.613,0.00028943,0.00038313,0.00047113,0.00055102,0.00062093,0.00067977,0.00072746,0.0007647,0.0007924,0.00037146,0.00029407,0.0068694
-98.519,27.602,0.00033898,0.00038033,0.00041715,0.0004487,0.00047444,0.00049423,0.00050834,0.00051729,0.00052159,-0.00018937,-0.00030287,-0.0065617
-97.309,27.421,0.00041363,0.00044912,0.00048023,0.00050646,0.00052694,0.00054084,0.00054811,0.0005496,0.00054652,5.98E-05,7.90E-05,0.0038397
-122.71,48.72,-0.00048204,-0.00048966,-0.00049349,-0.0004938,-0.0004909,-0.0004853,-0.00047738,-0.00046708,-0.00045432,-0.00011801,-0.00016583,-0.01712
